,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,class,A1
3344,18,23,545,20084,23150,535939792,20084,23150,535939792,13,9,90,2032,1951,3807320,0,3
3345,10,16,281,20733,22769,518431183,20733,22769,518431183,7,6,47,1101,1394,1944351,0,3
3346,20,32,1059,17442,20994,440789211,17435,20999,440969495,11,9,98,1978,2084,4344465,0,3
3347,17,31,1016,16112,20215,408662672,16168,20137,405522607,11,10,120,2009,1833,3361698,0,3
3348,26,38,1470,18445,22103,488565084,18445,22103,488565084,12,9,88,1792,1608,2585863,0,3
3349,14,27,759,19693,22429,503102180,19158,22630,512119183,9,6,47,1678,1663,2768545,0,3
3350,7,7,59,22048,23395,547326524,20455,23517,553054428,9,9,83,1621,1739,3024624,0,3
3351,34,48,2319,17340,21205,449685500,16392,21324,454733517,11,9,83,2167,2157,4656663,0,3
3352,8,6,48,21536,22651,513083425,21536,22651,513083425,14,8,77,2042,1312,1722078,0,3
3353,7,8,65,17586,22000,484037389,17586,22000,484029115,10,10,113,1465,1536,2362097,0,3
3354,10,8,74,22417,24105,581064145,22417,24105,581064145,13,9,94,2086,1693,2869499,0,3
3355,24,55,3067,17725,21088,444707401,17725,21088,444707401,15,8,69,2173,1244,1549532,0,3
3356,52,53,2812,20717,24585,604438030,20717,24585,604422966,14,8,72,2564,2101,4414223,0,3
3357,12,7,60,18819,20172,406941008,18819,20172,406941008,18,8,77,2692,1309,1715181,0,3
3358,16,28,795,18578,21802,475344544,18578,21802,475344544,13,9,83,2003,1453,2112611,0,3
3359,29,41,1723,16955,20566,422969344,14656,18920,357987916,10,7,55,2175,2286,5227572,0,3
3360,18,24,577,12722,16776,281444227,12722,16776,281444227,13,8,66,2290,1578,2490320,0,3
3361,33,45,2094,19551,22622,511774267,19176,22822,520860130,13,8,66,2269,1811,3280467,0,3
3362,20,38,1516,14967,19549,382165642,14967,19549,382165642,8,9,85,1159,1408,1983500,0,3
3363,16,24,606,18874,21295,453483952,17877,21497,462124745,11,9,90,1909,1962,3851332,0,3
3364,19,43,1904,19177,21635,468101712,19177,21635,468101712,7,7,63,1068,1287,1658502,0,3
3365,14,31,962,14144,19121,365639287,14143,19122,365659913,8,9,99,1309,1857,3450106,0,3
3366,30,43,1857,17018,20971,439790014,17017,20971,439797646,12,8,71,2235,1973,3896653,0,3
3367,11,7,50,19594,21806,475528353,19594,21806,475528353,17,8,76,2392,1253,1572339,0,3
3368,11,25,662,22991,25572,653929975,22991,25572,653929975,10,8,70,1625,1791,3210926,0,3
3369,13,23,549,19799,22946,526549904,19734,22995,528789815,10,8,67,1721,1610,2592757,0,3
3370,11,17,289,17458,22201,492899258,15658,21627,467728229,10,10,119,1481,1814,3292845,0,3
3371,12,10,120,20819,22709,515743149,20819,22709,515743149,14,6,48,2207,1152,1327247,0,3
3372,27,42,1815,17556,21002,441122256,17556,21002,441122256,11,9,81,1999,2047,4194021,0,3
3373,18,29,878,21289,23838,568297528,21289,23838,568297528,13,8,80,1952,1532,2347324,0,3
3374,17,29,891,17666,20690,428085985,17665,20690,428095537,11,9,81,1770,1389,1930729,0,3
3375,17,29,869,17713,20903,436958674,17713,20903,436958674,14,9,84,2079,1428,2039683,0,3
3376,14,23,560,19171,21929,480884382,16879,23304,543104894,6,7,58,1338,1582,2503245,0,10
3377,12,21,476,13452,15793,249435019,11330,16826,283124432,9,9,96,1664,1765,3118599,0,3
3378,12,29,851,15403,17688,312892652,12733,18214,331771546,10,9,98,1584,1442,2080902,0,3
3379,26,67,4522,20500,23801,566526534,20500,23801,566518576,15,7,52,2260,1135,1289176,0,3
3380,18,28,791,21980,24334,592187784,21980,24334,592187784,15,9,92,2137,1416,2006639,0,3
3381,13,18,351,22504,23700,561698232,22504,23700,561698232,13,8,69,2092,1610,2594635,0,3
3382,16,21,457,16194,20440,417824244,16194,20440,417824244,12,9,86,2109,1737,3019752,0,3
3383,14,22,517,20646,22251,495115965,20646,22251,495115965,12,9,83,1940,1736,3014729,0,3
3384,8,7,55,14996,20573,423272173,14996,20573,423270768,11,9,82,1790,1533,2350845,0,3
3385,8,8,68,21656,23410,548059345,21656,23410,548059345,11,10,110,1612,1515,2297628,0,3
